product,variant,condition_src,price_gbp,sku,handle,url,n_raw,n_match,ebay_p25_gbp,cm_gbp,status
Samsung Galaxy Tab S9+  WiFi + Cellular 512GB,Graphite / Great Condition,Great Condition,795.19,GTABS9PWC-512GB-GP-GR,samsung-galaxy-tab-s9-plus-wifi-cellular-512gb,https://www.reboxed.co/products/samsung-galaxy-tab-s9-plus-wifi-cellular-512gb?variant=55589771149688,35,0,,,NO_MATCH
Samsung Galaxy Tab S9 Ultra WiFi 1TB,Graphite / Good Condition,Good Condition,792.42,GTABS9UW-1TB-GP-FA,samsung-galaxy-tab-s9-ultra-wifi-1tb,https://www.reboxed.co/products/samsung-galaxy-tab-s9-ultra-wifi-1tb?variant=55589779079544,27,2,799.0,-66.27,REJECT_CM
iPhone 15 Pro Max 512GB,White Titanium / Great Condition / New Battery,New Battery,789.0,IP15PM-512GB-WH-GR-NB,apple-iphone-15-pro-max-512gb,https://www.reboxed.co/products/apple-iphone-15-pro-max-512gb?variant=55597279707512,50,37,565.0,-277.91,REJECT_CM
Samsung Galaxy Tab S10 Ultra WiFi 512GB,Moonstone Grey / Good Condition,Good Condition,788.79,GTABSS10-ULTRAW-512GB-MG-FA,samsung-galaxy-tab-s10-ultra-wifi-512gb,https://www.reboxed.co/products/samsung-galaxy-tab-s10-ultra-wifi-512gb?variant=55589802967416,31,3,720.0,-135.25,REJECT_CM
iPhone 14 Pro Max 1TB,Gold / Good Condition / Standard Battery,Standard Battery,783.71,IP14PM-1TGB-GO-FA,apple-iphone-14-pro-max-1tb,https://www.reboxed.co/products/apple-iphone-14-pro-max-1tb?variant=45674220257511,36,32,486.1,-345.14,REJECT_CM
Samsung Galaxy Tab S9+  WiFi + Cellular 512GB,Graphite / Good Condition,Good Condition,761.59,GTABS9PWC-512GB-GP-FA,samsung-galaxy-tab-s9-plus-wifi-cellular-512gb,https://www.reboxed.co/products/samsung-galaxy-tab-s9-plus-wifi-cellular-512gb?variant=55589771215224,35,0,,,NO_MATCH
Galaxy S25 Ultra 1TB,Titanium Jetblack / Excellent Condition,Excellent Condition,759.97,SS25-1TB-TJBLK-MI,samsung-galaxy-s25-ultra-1tb,https://www.reboxed.co/products/samsung-galaxy-s25-ultra-1tb?variant=55011828629880,22,18,710.5,-115.16,REJECT_CM
iPhone 15 Pro 256GB,Natural Titanium / Excellent Condition / New Battery,New Battery,759.0,IP15P-256GB-NT-MI-NB,apple-iphone-15-pro-256gb,https://www.reboxed.co/products/apple-iphone-15-pro-256gb?variant=55597253624184,50,49,414.64,-386.11,REJECT_CM
Samsung Galaxy Tab S9 FE+ WiFi 256GB,Silver / Excellent Condition,Excellent Condition,739.19,GTABSS9-FE-PLUS-W-256GB-SI-MI,samsung-galaxy-tab-s9-fe-plus-wifi-256gb,https://www.reboxed.co/products/samsung-galaxy-tab-s9-fe-plus-wifi-256gb?variant=55589795987832,50,0,,,NO_MATCH
Samsung Galaxy Tab S10+ WiFi 512GB,Moonstone Grey / Excellent Condition,Excellent Condition,730.12,GTABSS10-PLUSW-512GB-MG-MI,samsung-galaxy-tab-s10-plus-wifi-512gb,https://www.reboxed.co/products/samsung-galaxy-tab-s10-plus-wifi-512gb?variant=55589799526776,32,3,720.0,-76.58,REJECT_CM
